Date	Time	Open	High	Low	Close	TickVolume	Volume	Spread
2018.06.06	12:00:00	110.059	110.171	110.045	110.157	3462	0	1
2018.06.06	13:00:00	110.158	110.213	110.135	110.172	2530	0	1
2018.06.06	14:00:00	110.172	110.227	110.154	110.209	2472	0	1
2018.06.06	15:00:00	110.213	110.228	110.056	110.089	2783	0	1
2018.06.06	16:00:00	110.089	110.104	109.938	109.986	3412	0	1
2018.06.06	17:00:00	109.986	110.049	109.890	110.036	5016	0	1
2018.06.06	18:00:00	110.036	110.074	109.962	110.004	3429	0	1
2018.06.06	19:00:00	110.004	110.134	109.988	110.121	1940	0	1
2018.06.06	20:00:00	110.121	110.193	110.090	110.173	1931	0	1
2018.06.06	21:00:00	110.173	110.189	110.093	110.186	1541	0	1
2018.06.06	22:00:00	110.185	110.264	110.183	110.208	1626	0	1
2018.06.06	23:00:00	110.209	110.219	110.175	110.177	1051	0	1
2018.06.07	00:00:00	110.176	110.185	110.104	110.140	6079	0	1
2018.06.07	01:00:00	110.140	110.174	110.131	110.161	893	0	3
2018.06.07	02:00:00	110.161	110.174	110.113	110.134	1527	0	1
2018.06.07	03:00:00	110.134	110.220	110.088	110.152	3693	0	1
2018.06.07	04:00:00	110.152	110.172	109.947	109.968	3627	0	1
2018.06.07	05:00:00	109.969	110.043	109.911	109.923	3507	0	1
2018.06.07	06:00:00	109.923	109.974	109.864	109.953	2020	0	1
